订单号,商品编码   ,商品名称              ,销售数量,应收金额 ,实收金额
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,69   ,60.72
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,69   ,60.72
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,1   ,34.5 ,30.36
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,69   ,62
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,69   ,62
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,3   ,103.5,96.5
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,8   ,276  ,269
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,3   ,103.5,96.5
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,1   ,34.5 ,31
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,69   ,62
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,1   ,34.5 ,30.36
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,69   ,60.72
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,69   ,60.72
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,69   ,60.72
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,69   ,62
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,69   ,62
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,5   ,172.5,165.5
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,1   ,34.5 ,31
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,10  ,345  ,345
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,1   ,34.5 ,31
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,69   ,62
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,1   ,34.5 ,31
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,1   ,34.5 ,31
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,1   ,34.5 ,31
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,69   ,62
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,69   ,62
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,1   ,34.5 ,31
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,69   ,60.72
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,4   ,138  ,129.72
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,69   ,60.72
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,69   ,62
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,69   ,62
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,69   ,62
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,1   ,34.5 ,31
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,5   ,172.5,165.5
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,4   ,138  ,131
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,4   ,138  ,131
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,     ,60.72
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,69   ,60.72
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,69   ,60.72
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,4   ,138  ,131
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,69   ,62
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,53
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,4   ,119.2,112.6
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,53
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,4   ,119.2,112.6
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,52.45
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,1   ,29.8 ,26.22
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,52.45
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,52.45
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,52.45
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,0   ,0    ,0
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,53
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,8   ,238.4,231.8
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,53
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,53
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,53
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,1   ,29.8 ,26.5
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,1   ,29.8 ,26.5
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,10  ,298  ,291.4
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,53
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,52.45
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,53
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,1   ,29.8 ,26.5
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,1   ,29.8 ,26.5
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,4   ,119.2,112.6
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,53
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,1   ,29.8 ,26.5
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,53
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,1   ,29.8 ,26.5
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,1   ,29.8 ,26.22
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,52.45
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,52.45
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,52.45
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,52.45
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,1   ,29.8 ,26.22
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,4   ,119.2,112.6
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,53
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,53
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,0   ,0    ,0
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,53
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,53
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,53
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,6   ,178.8,172.2
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,1   ,29.8 ,26.5
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,1   ,29.8 ,26.5
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,1   ,29.8 ,26.5
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,52.45
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,52.44
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,52.45
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,3   ,89.4 ,82.25
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,52.45
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,52.45
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,52.45
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,1   ,29.8 ,26.22
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,1   ,29.8 ,26.22
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,52.45
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,53
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,4   ,119.2,112.6
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,53
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,53
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,53
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,3   ,89.4 ,82.25
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,52.45
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,53
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,53
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,53
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,53
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,4   ,119.2,112.6
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,53
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,53
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,5   ,149  ,141.85
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,4   ,119.2,112.05
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,52.45
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,53.04
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,52.45
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,10  ,298  ,298
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,1   ,29.8 ,26.22
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,10  ,298  ,291.4
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,53
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,53
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,6   ,178.8,172.2
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,6   ,178.8,172.2
1  ,861405 ,苯磺酸氨氯地平片(络活喜)     ,2   ,59.6 ,53
1  ,861406 ,非洛地平缓释片(波依定)      ,6   ,150  ,135
1  ,861406 ,非洛地平缓释片(波依定)      ,1   ,25   ,22.5
1  ,861406 ,非洛地平缓释片(波依定)      ,1   ,25   ,22.5
1  ,861406 ,非洛地平缓释片(波依定)      ,2   ,50   ,45
1  ,861406 ,非洛地平缓释片(波依定)      ,4   ,100  ,100
1  ,861406 ,非洛地平缓释片(波依定)      ,1   ,25   ,22.5
1  ,861406 ,非洛地平缓释片(波依定)      ,3   ,75   ,66.6
1  ,861406 ,非洛地平缓释片(波依定)      ,3   ,75   ,66.6
1  ,861406 ,非洛地平缓释片(波依定)      ,1   ,25   ,22
1  ,861406 ,非洛地平缓释片(波依定)      ,1   ,25   ,22.5
1  ,861406 ,非洛地平缓释片(波依定)      ,2   ,50   ,45
1  ,861406 ,非洛地平缓释片(波依定)      ,1   ,25   ,22.5
1  ,861406 ,非洛地平缓释片(波依定)      ,2   ,50   ,45
1  ,861406 ,非洛地平缓释片(波依定)      ,1   ,25   ,25
1  ,861406 ,非洛地平缓释片(波依定)      ,6   ,150  ,132
1  ,861406 ,非洛地平缓释片(波依定)      ,6   ,150  ,132
1  ,861406 ,非洛地平缓释片(波依定)      ,0   ,0    ,0
1  ,861406 ,非洛地平缓释片(波依定)      ,3   ,75   ,67.5
1  ,861406 ,非洛地平缓释片(波依定)      ,5   ,125  ,112.5
1  ,861406 ,非洛地平缓释片(波依定)      ,2   ,50   ,44
1  ,861406 ,非洛地平缓释片(波依定)      ,1   ,25   ,22
1  ,861406 ,非洛地平缓释片(波依定)      ,4   ,100  ,90
1  ,861406 ,非洛地平缓释片(波依定)      ,2   ,50   ,45
1  ,861406 ,非洛地平缓释片(波依定)      ,2   ,50   ,45
1  ,861406 ,非洛地平缓释片(波依定)      ,2   ,50   ,44
1  ,861406 ,非洛地平缓释片(波依定)      ,1   ,25   ,22.5
1  ,861406 ,非洛地平缓释片(波依定)      ,2   ,50   ,45
1  ,861406 ,非洛地平缓释片(波依定)      ,1   ,25   ,22.5
1  ,861408 ,非洛地平缓释片(康宝得维)     ,2   ,24   ,21.6
1  ,861408 ,非洛地平缓释片(康宝得维)     ,1   ,12   ,10.56
1  ,861408 ,非洛地平缓释片(康宝得维)     ,5   ,60   ,57.6
1  ,861408 ,非洛地平缓释片(康宝得维)     ,2   ,24   ,21.6
1  ,861408 ,非洛地平缓释片(康宝得维)     ,2   ,24   ,21.6
1  ,861408 ,非洛地平缓释片(康宝得维)     ,2   ,24   ,21.6
1  ,861408 ,非洛地平缓释片(康宝得维)     ,1   ,12   ,10.8
1  ,861408 ,非洛地平缓释片(康宝得维)     ,1   ,12   ,10.8
1  ,861408 ,非洛地平缓释片(康宝得维)     ,2   ,24   ,21.12
1  ,861408 ,非洛地平缓释片(康宝得维)     ,2   ,24   ,21.6
1  ,861408 ,非洛地平缓释片(康宝得维)     ,2   ,24   ,21.6
1  ,861408 ,非洛地平缓释片(康宝得维)     ,2   ,24   ,
1  ,861408 ,非洛地平缓释片(康宝得维)     ,2   ,24   ,21.6
1  ,861408 ,非洛地平缓释片(康宝得维)     ,2   ,24   ,21.6
1  ,861408 ,非洛地平缓释片(康宝得维)     ,2   ,24   ,21.6
1  ,861408 ,非洛地平缓释片(康宝得维)     ,2   ,24   ,21.6
1  ,861408 ,非洛地平缓释片(康宝得维)     ,2   ,24   ,21.6
1  ,861408 ,非洛地平缓释片(康宝得维)     ,6   ,72   ,64.8
1  ,861408 ,非洛地平缓释片(康宝得维)     ,2   ,24   ,21.12
1  ,861408 ,非洛地平缓释片(康宝得维)     ,2   ,24   ,21.6
1  ,861408 ,非洛地平缓释片(康宝得维)     ,2   ,24   ,21.6
1  ,861408 ,非洛地平缓释片(康宝得维)     ,2   ,24   ,21.6
1  ,861408 ,非洛地平缓释片(康宝得维)     ,2   ,24   ,21.6
1  ,861408 ,非洛地平缓释片(康宝得维)     ,10  ,120  ,108
1  ,861408 ,非洛地平缓释片(康宝得维)     ,2   ,24   ,21.6
1  ,861408 ,非洛地平缓释片(康宝得维)     ,2   ,24   ,21.6
1  ,861408 ,非洛地平缓释片(康宝得维)     ,2   ,24   ,21.12
1  ,861408 ,非洛地平缓释片(康宝得维)     ,4   ,48   ,43.2
1  ,861408 ,非洛地平缓释片(康宝得维)     ,2   ,24   ,21.6
1  ,861408 ,非洛地平缓释片(康宝得维)     ,2   ,24   ,21.6
1  ,861408 ,非洛地平缓释片(康宝得维)     ,2   ,24   ,21.6
1  ,861408 ,非洛地平缓释片(康宝得维)     ,2   ,24   ,21.12
1  ,861408 ,非洛地平缓释片(康宝得维)     ,2   ,24   ,21.6
1  ,861408 ,非洛地平缓释片(康宝得维)     ,2   ,24   ,21.6
1  ,861408 ,非洛地平缓释片(康宝得维)     ,1   ,12   ,10.8
1  ,861409 ,非洛地平缓释片(波依定)      ,5   ,162.5,145
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,32.5 ,29
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,32.5 ,29
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,57.2
1  ,861409 ,非洛地平缓释片(波依定)      ,6   ,195  ,188
1  ,861409 ,非洛地平缓释片(波依定)      ,3   ,97.5 ,87
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,32.5 ,28.6
1  ,861409 ,非洛地平缓释片(波依定)      ,4   ,130  ,122.2
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,32.5 ,32.5
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,32.5 ,29
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,32.5 ,29
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,32.5 ,32.5
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,32.5 ,29
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,32.5 ,29
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,4   ,130  ,116
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,32.5 ,29
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,57.2
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,66
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,32.5 ,29
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,32.5 ,28.6
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,32.5 ,33
1  ,861409 ,非洛地平缓释片(波依定)      ,10  ,325  ,
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,32.5 ,29
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,4   ,130  ,116
1  ,861409 ,非洛地平缓释片(波依定)      ,6   ,195  ,188
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,32.5 ,32.5
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,32.5 ,28.6
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,32.5 ,28.6
1  ,861409 ,非洛地平缓释片(波依定)      ,3   ,97.5 ,87
1  ,861409 ,非洛地平缓释片(波依定)      ,15  ,487.5,435
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,32.5 ,28.6
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,32.5 ,28.6
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,32.5 ,29
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,32.5 ,29
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,32.5 ,29
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,32.5 ,29
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,3   ,97.5 ,87
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,32.5 ,29
1  ,861409 ,非洛地平缓释片(波依定)      ,3   ,97.5 ,90.5
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,32.5 ,32.5
1  ,861409 ,非洛地平缓释片(波依定)      ,3   ,97.5 ,90.5
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,32.5 ,28.6
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,32.5 ,29
1  ,861409 ,非洛地平缓释片(波依定)      ,10  ,325  ,318
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,32.5 ,29
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,-2  ,-65  ,-58
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,65   ,58
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,32.5 ,29
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,32.5 ,32.5
1  ,861409 ,非洛地平缓释片(波依定)      ,10  ,325  ,318
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,35.5 ,31.5
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,35.5 ,31.24
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,71   ,63
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,71   ,63
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,71   ,63
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,71   ,63
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,71   ,63
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,35.5 ,31.5
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,71   ,63
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,71   ,62.48
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,35.5 ,31.24
1  ,861409 ,非洛地平缓释片(波依定)      ,1   ,35.5 ,31.5
1  ,861409 ,非洛地平缓释片(波依定)      ,5   ,177.5,169.5
1  ,861409 ,非洛地平缓释片(波依定)      ,2   ,71   ,63
1  ,861412 ,x福辛普利钠片(蒙诺)       ,2   ,79.6 ,78.01
1  ,861412 ,x福辛普利钠片(蒙诺)       ,4   ,159.2,
1  ,861412 ,x福辛普利钠片(蒙诺)       ,2   ,79.6 ,79.6
1  ,861412 ,x福辛普利钠片(蒙诺)       ,4   ,159.2,159.2
1  ,861412 ,x福辛普利钠片(蒙诺)       ,1   ,47   ,42
1  ,861412 ,x福辛普利钠片(蒙诺)       ,2   ,94   ,84
1  ,861412 ,x福辛普利钠片(蒙诺)       ,1   ,47   ,42
1  ,861412 ,x福辛普利钠片(蒙诺)       ,2   ,94   ,84
1  ,861412 ,x福辛普利钠片(蒙诺)       ,2   ,94   ,92.12
1  ,861412 ,x福辛普利钠片(蒙诺)       ,2   ,94   ,84
1  ,861412 ,x福辛普利钠片(蒙诺)       ,1   ,47   ,42
1  ,861412 ,x福辛普利钠片(蒙诺)       ,2   ,94   ,84
1  ,861412 ,x福辛普利钠片(蒙诺)       ,2   ,94   ,84
1  ,861412 ,x福辛普利钠片(蒙诺)       ,1   ,47   ,47
1  ,861412 ,x福辛普利钠片(蒙诺)       ,3   ,141  ,126
1  ,861412 ,x福辛普利钠片(蒙诺)       ,1   ,47   ,42
1  ,861412 ,x福辛普利钠片(蒙诺)       ,2   ,94   ,92.12
1  ,861412 ,x福辛普利钠片(蒙诺)       ,3   ,141  ,126
1  ,861417 ,雷米普利片(瑞素坦)        ,1   ,28.5 ,28.5
1  ,861417 ,雷米普利片(瑞素坦)        ,3   ,85.5 ,75.24
1  ,861417 ,雷米普利片(瑞素坦)        ,2   ,57   ,
1  ,861417 ,雷米普利片(瑞素坦)        ,2   ,57   ,57
1  ,861417 ,雷米普利片(瑞素坦)        ,3   ,85.5 ,75.24
1  ,861417 ,雷米普利片(瑞素坦)        ,2   ,57   ,57
1  ,861417 ,雷米普利片(瑞素坦)        ,2   ,57   ,50.16
1  ,861417 ,雷米普利片(瑞素坦)        ,3   ,85.5 ,85.5
1  ,861417 ,雷米普利片(瑞素坦)        ,2   ,57   ,50.16
1  ,861417 ,雷米普利片(瑞素坦)        ,1   ,28.5 ,25.08
1  ,861417 ,雷米普利片(瑞素坦)        ,1   ,28.5 ,25.08
1  ,861417 ,雷米普利片(瑞素坦)        ,2   ,57   ,57
1  ,861417 ,雷米普利片(瑞素坦)        ,1   ,28.5 ,28.5
1  ,861417 ,雷米普利片(瑞素坦)        ,1   ,28.5 ,28.5
1  ,861417 ,雷米普利片(瑞素坦)        ,1   ,28.5 ,28.5
1  ,861417 ,雷米普利片(瑞素坦)        ,4   ,114  ,111
1  ,861435 ,缬沙坦胶囊(代文)         ,2   ,83.6 ,75
1  ,861435 ,缬沙坦胶囊(代文)         ,2   ,83.6 ,73.57
1  ,861435 ,缬沙坦胶囊(代文)         ,2   ,83.6 ,75
1  ,861435 ,缬沙坦胶囊(代文)         ,2   ,83.6 ,75
1  ,861435 ,缬沙坦胶囊(代文)         ,2   ,83.6 ,83.6
1  ,861435 ,缬沙坦胶囊(代文)         ,1   ,41.8 ,37.5
1  ,861435 ,缬沙坦胶囊(代文)         ,2   ,83.6 ,75
1  ,861435 ,缬沙坦胶囊(代文)         ,10  ,418  ,409.4
1  ,861435 ,缬沙坦胶囊(代文)         ,2   ,83.6 ,75
1  ,861435 ,缬沙坦胶囊(代文)         ,2   ,83.6 ,75
1  ,861435 ,缬沙坦胶囊(代文)         ,20  ,836  ,836
1  ,861435 ,缬沙坦胶囊(代文)         ,2   ,83.6 ,75
1  ,861435 ,缬沙坦胶囊(代文)         ,1   ,41.8 ,37.5
1  ,861435 ,缬沙坦胶囊(代文)         ,2   ,83.6 ,75
1  ,861435 ,缬沙坦胶囊(代文)         ,-2  ,-83.6,-75
1  ,861435 ,缬沙坦胶囊(代文)         ,2   ,83.6 ,73.57
1  ,861435 ,缬沙坦胶囊(代文)         ,2   ,83.6 ,73.57
1  ,861435 ,缬沙坦胶囊(代文)         ,2   ,83.6 ,73.57
1  ,861435 ,缬沙坦胶囊(代文)         ,10  ,418  ,438
1  ,861435 ,缬沙坦胶囊(代文)         ,2   ,83.6 ,75
1  ,861435 ,缬沙坦胶囊(代文)         ,10  ,418  ,409.4
1  ,861435 ,缬沙坦胶囊(代文)         ,5   ,209  ,200.4
1  ,861435 ,缬沙坦胶囊(代文)         ,2   ,83.6 ,75
1  ,861435 ,缬沙坦胶囊(代文)         ,20  ,836  ,836
1  ,861435 ,缬沙坦胶囊(代文)         ,2   ,83.6 ,75
1  ,861435 ,缬沙坦胶囊(代文)         ,1   ,41.8 ,37.5
1  ,861435 ,缬沙坦胶囊(代文)         ,5   ,209  ,200.4
1  ,861435 ,缬沙坦胶囊(代文)         ,    ,83.6 ,75
1  ,861435 ,缬沙坦胶囊(代文)         ,10  ,418  ,409.4
1  ,861435 ,缬沙坦胶囊(代文)         ,2   ,83.6 ,75
